%time,field.control_vel,field.desired_vel,field.control_pitch,field.desired_pitch,field.control_yaw,field.desired_yaw
1492810674777944517,1,0.440300434828,1,0.0,0,0.0
1492810674878023862,1,0.442431926727,1,0.0,0,0.0
1492810674978046176,1,0.444308191538,1,0.0,0,0.0
1492810675078046209,1,0.445925414562,1,0.0,0,0.0
1492810675178309165,1,0.447279602289,1,0.0,0,0.0
1492810675278108295,1,0.448366075754,1,0.0,0,0.0
1492810675378234168,1,0.449181288481,1,0.0,0,0.0
1492810675478096784,1,0.4497192204,1,0.0,0,0.0
1492810675578071584,1,0.449976623058,1,0.0,0,0.0
1492810675677978763,1,0.449999988079,1,0.0,0,0.0
1492810675778061350,1,0.449999988079,1,0.0,0,0.0
1492810675878037449,1,0.449999988079,1,0.0,0,0.0
1492810675978109821,1,0.449999988079,1,0.0,0,0.0
1492810676078213078,1,0.449999988079,1,0.0,0,0.0
1492810676178048464,1,0.449999988079,1,0.0,0,0.0
1492810676278022950,1,0.449999988079,1,0.0,0,0.0
1492810676377959940,1,0.449999988079,1,0.0,0,0.0
1492810676478042732,1,0.449999988079,1,0.0,0,0.0
1492810676577974535,1,0.449999988079,1,0.0,0,0.0
1492810676677982773,1,0.449999988079,1,0.0,0,0.0
1492810676778029641,1,0.449999988079,1,0.0,0,0.0
1492810676878049053,1,0.449999988079,1,0.0,0,0.0
1492810676978042618,1,0.449999988079,1,0.0,0,0.0
1492810677078282676,1,0.449999988079,1,0.0,0,0.0
1492810677178008484,1,0.449999988079,1,0.0,0,0.0
1492810677278072277,1,0.449999988079,1,0.0,0,0.0
1492810677378044270,1,0.449999988079,1,0.0,0,0.0
1492810677478103536,1,0.449999988079,1,0.0,0,0.0
1492810677577972264,1,0.449999988079,1,0.0,0,0.0
1492810677678055308,1,0.449999988079,1,0.0,0,0.0
1492810677778030513,1,0.449999988079,1,0.0,0,0.0
1492810677878040152,1,0.449999988079,1,0.0,0,0.0
1492810677978050011,1,0.449999988079,1,0.0,0,0.0
1492810678078052726,1,0.449999988079,1,0.0,0,0.0
1492810678177978860,1,0.449999988079,1,0.0,0,0.0
1492810678277937174,1,0.449999988079,1,0.0,0,0.0
1492810678378060543,1,0.449999988079,1,0.0,0,0.0
1492810678478059656,1,0.449999988079,1,0.0,0,0.0
1492810678577989891,1,0.449999988079,1,0.0,0,0.0
1492810678678054440,1,0.449999988079,1,0.000105580256786,0,0.0
1492810678777987851,1,0.449999988079,1,0.000747477053665,0,0.0
1492810678877977209,1,0.449999988079,1,0.00195049878675,0,0.0
1492810678977971744,1,0.449999988079,1,0.00369234196842,0,0.0
1492810679078033730,1,0.449999988079,1,0.00594901107252,0,0.0
1492810679178179674,1,0.449999988079,1,0.0086935441941,0,0.0
1492810679278076706,1,0.449999988079,1,0.011901830323,0,0.0
1492810679378036278,1,0.449999988079,1,0.0155564351007,0,0.0
1492810679478200904,1,0.449999988079,1,0.0196272414178,0,0.0
1492810679578027655,1,0.449999988079,1,0.0240898318589,0,0.0
1492810679678053310,1,0.449999988079,1,0.0289196819067,0,0.0
1492810679778019941,1,0.449999988079,1,0.0341034606099,0,0.0
1492810679878038387,1,0.449999988079,1,0.0396017320454,0,0.0
1492810679978248323,1,0.449999988079,1,0.0454084686935,0,0.0
1492810680077921589,1,0.449999988079,1,0.0514675229788,0,0.0
1492810680178005124,1,0.449999988079,1,0.0577926561236,0,0.0
1492810680278246784,1,0.449999988079,1,0.0643491894007,0,0.0
1492810680378027060,1,0.449999988079,1,0.0710904374719,0,0.0
1492810680478001014,1,0.449999988079,1,0.0780124142766,0,0.0
1492810680578049922,1,0.449999988079,1,0.0850948989391,0,0.0
