# Time	x	y	z	roll	pitch	yaw	vx	vy	vz	
14.6635717	2.2624751	3.3483000	-0.4063845	-0.1859633	-0.2775196	2.5659420	-0.0906529	-0.3333566	-0.0406256
14.7635707	2.2900607	3.3688726	-0.4053316	-0.1868092	-0.2733250	2.5629807	-0.1021819	-0.3356153	-0.0358210
14.8637281	2.3182783	3.3908461	-0.4052342	-0.1876355	-0.2742839	2.5592736	-0.1118093	-0.3299463	-0.0305444
14.9635397	2.3586281	3.4043451	-0.3990122	-0.1882221	-0.2787121	2.5549907	-0.1196445	-0.3298654	-0.0255959
15.0635684	2.3756654	3.4311715	-0.4055517	-0.1882251	-0.2840011	2.5507966	-0.1213714	-0.3285504	-0.0343357
15.1635402	2.4138152	3.4460228	-0.3991656	-0.1874379	-0.2879450	2.5476150	-0.1182520	-0.3262216	-0.0356947
15.2635727	2.4468676	3.4637005	-0.3944542	-0.1865777	-0.2902541	2.5459759	-0.1153091	-0.3296459	-0.0427564
15.3635456	2.4801799	3.4865773	-0.3940106	-0.1860392	-0.2914678	2.5457593	-0.1096443	-0.3267933	-0.0511845
15.4635896	2.5008968	3.5075432	-0.4034665	-0.1865667	-0.2920511	2.5458279	-0.1160009	-0.3311178	-0.0613797
15.5636288	2.5306564	3.5280199	-0.4032849	-0.1877450	-0.2920219	2.5451797	-0.1208945	-0.3296212	-0.0584791
15.6635346	2.5623965	3.5516557	-0.4082963	-0.1888203	-0.2918685	2.5425759	-0.1300955	-0.3295034	-0.0535024
15.7635287	2.5910509	3.5673533	-0.4012856	-0.1896142	-0.2914409	2.5392023	-0.1345382	-0.3298152	-0.0337916
15.8636147	2.6210322	3.5869733	-0.4033622	-0.1900723	-0.2923423	2.5358868	-0.1353896	-0.3266612	-0.0249633
15.9635684	2.6551060	3.6074535	-0.4011543	-0.1902879	-0.2941983	2.5342350	-0.1362571	-0.3275112	-0.0235917
