%time,field.P_vel,field.I_vel,field.D_vel,field.P_pitch,field.I_pitch,field.D_pitch,field.P_yaw,field.I_yaw,field.D_yaw
1492810519955652877,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810520055605160,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810520155713383,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810520255655178,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810520355593624,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810520455634985,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810520555617475,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810520655679832,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810520755942780,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810520855741248,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810520955571224,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810521056075395,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810521155706627,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810521255729094,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810521355785373,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810521455845597,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810521555771718,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810521655705715,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810521755824703,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810521855575740,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810521955644046,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810522055631951,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810522156218692,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810522255716008,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
